Date,Public Holiday,Vector
1/01/2014,New Years Day,1
27/01/2014,Australia Day,1
3/03/2014,Labour Day,1
18/04/2014,Good Friday,1
21/04/2014,Easter Monday,1
25/04/2014,ANZAC Day,1
2/06/2014,WA Day,1
29/09/2014,Queens Birthday,1
25/12/2014,Christmas Day,1
26/12/2014,Boxing Day,1
1/01/2015,New Years Day,1
26/01/2015,Australia Day,1
2/03/2015,Labour Day,1
3/04/2015,Good Friday,1
6/04/2015,Easter Monday,1
27/04/2015,ANZAC Day,1
1/06/2015,WA Day,1
25/12/2015,Christmas Day,1
1/01/2016,New Years Day,1
26/01/2016,Australia Day,1
7/03/2016,Labour Day,1
25/03/2016,Good Friday,1
28/03/2016,Easter Monday,1
25/04/2016,ANZAC Day,1
26/09/2016,Queen's Birthday,1
25/12/2016,Christmas Day,1
26/12/2016,Boxing Day,1
27/12/2016,Additional Christmas Holiday,1
2/01/2017,New Years Day Holiday,1
26/01/2017,Australia Day,1
6/03/2017,Labour Day,1
14/04/2017,Good Friday,1
17/04/2017,Easter Monday,1
25/04/2017,ANZAC Day,1
5/06/2017,Western Australia's Day,1
6/06/2017,WA Day,1
25/09/2017,Queens Birthday,1
25/12/2017,Christmas Day,1
25/12/2017,Christmas Day,1
26/12/2017,Boxing Day,1
26/12/2017,Boxing Day,1
27/12/2017,Additional Christmas Day,1
28/12/2017,Boxing Day,1
